,Decade,Total Deaths
0,1900s,140955.0
1,1910s,50773.0
2,1920s,410249.0
3,1930s,175194.0
4,1940s,161713.0
5,1950s,17260.0
6,1960s,49833.0
7,1970s,452953.0
8,1980s,66819.0
9,1990s,112277.0
10,2000s,233264.0
11,2010s,338178.0
